"","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","id_new"
"1",68,0.826,0.704,9,-7.527,1,0.117,0.189,4.8e-05,0.0617,0.741,94.013,205000,1
"2",61,0.641,0.693,8,-7.327,1,0.163,0.0169,0,0.219,0.899,214.058,184413,2
"3",67,0.771,0.815,1,-5.423,0,0.0719,0.161,2.01e-05,0.189,0.524,94.016,205520,3
"4",63,0.743,0.787,1,-5.402,1,0.262,0.0352,0,0.0732,0.719,192.117,172680,4
"5",63,0.876,0.692,10,-6.429,1,0.104,0.128,0,0.249,0.757,95.032,227280,5
"6",67,0.675,0.921,4,-6.083,1,0.0365,0.0466,0.00618,0.117,0.7,97.01,252493,6
"7",72,0.816,0.747,8,-6.468,0,0.0411,0.102,0,0.263,0.848,97.019,210933,7
"8",59,0.705,0.533,11,-11.974,0,0.272,0.0956,0,0.292,0.537,94.022,210103,8
"9",50,0.847,0.724,1,-7.267,1,0.052,0.0152,0.0125,0.113,0.691,102.106,244773,9
"10",66,0.783,0.824,0,-4.973,1,0.123,0.214,0,0.102,0.726,93.998,187080,10
"11",73,0.732,0.708,9,-7.905,0,0.262,0.534,0,0.237,0.717,175.924,267787,11
"12",59,0.787,0.679,9,-4.913,1,0.0658,0.416,0,0.15,0.875,89.988,240200,12
"13",73,0.829,0.878,9,-5.951,1,0.101,0.0959,0,0.776,0.883,87.991,239307,13
"14",63,0.808,0.682,2,-7.128,1,0.0963,0.171,1.42e-06,0.464,0.491,89.987,235627,14
"15",64,0.825,0.852,6,-6.471,0,0.0789,0.0282,0.000264,0.13,0.813,95.028,214354,15
"16",65,0.828,0.666,9,-7.454,1,0.152,0.457,0,0.0834,0.44,91.961,212533,16
"17",66,0.804,0.745,4,-5.805,0,0.0744,0.112,0,0.0924,0.512,95.024,188733,17
"18",58,0.677,0.946,6,-2.887,1,0.0553,0.185,3.56e-06,0.274,0.948,96.011,240973,18
"19",63,0.775,0.744,7,-5.912,1,0.0916,0.0567,0,0.392,0.581,92.98,196360,19
"20",67,0.815,0.856,1,-3.825,0,0.122,0.4,8.34e-05,0.244,0.872,91.995,151667,20
"21",61,0.852,0.66,2,-6.177,1,0.224,0.277,0,0.207,0.517,94.006,224707,21
"22",63,0.798,0.814,7,-6.153,1,0.0542,0.101,5.41e-06,0.181,0.524,95.007,227467,22
"23",65,0.815,0.768,6,-6.276,0,0.171,0.217,1.69e-06,0.0632,0.667,93.971,196573,23
"24",75,0.857,0.801,0,-6.499,1,0.0618,0.332,1.2e-06,0.0789,0.753,96.009,192600,24
"25",35,0.681,0.802,1,-4.518,1,0.175,0.266,0,0.352,0.765,88.029,230080,25
"26",68,0.738,0.85,7,-5.818,0,0.0403,0.0775,0,0.162,0.678,94.999,225573,26
"27",63,0.503,0.9,5,-5.181,0,0.308,0.329,0,0.179,0.744,86.888,305280,27
"28",61,0.784,0.793,10,-4.573,0,0.123,0.112,0,0.134,0.638,95.977,231773,28
"29",63,0.847,0.873,8,-4.805,0,0.0804,0.0558,3.21e-06,0.325,0.966,116.007,255987,29
"30",53,0.843,0.797,1,-4.962,1,0.0894,0.0833,2.16e-06,0.229,0.697,96.948,191078,30
"31",66,0.738,0.875,1,-3.365,1,0.109,0.236,1.39e-05,0.13,0.91,90.036,285333,31
