"","popularity","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration","time_signature","id_new"
"1",68,0.65,0.884,1,-3.557,1,0.0326,0.0482,0.154,0.135,0.377,125.998,200952,4,71
"2",59,0.588,0.623,11,-8.027,0,0.0304,0.000288,0.451,0.184,0.169,135.993,417188,4,72
"3",61,0.577,0.88,6,-2.916,1,0.0357,0.335,0.896,0.143,0.259,127.951,204375,4,73
"4",60,0.795,0.724,11,-6.532,0,0.0861,0.404,1.67e-06,0.374,0.445,123.998,219024,4,74
"5",62,0.557,0.703,8,-2.062,0,0.0277,0.203,0.000156,0.0927,0.228,150.037,233600,4,75
"6",64,0.59,0.647,6,-5.06,0,0.033,0.00807,4.3e-05,0.0921,0.39,127.979,192307,4,76
"7",50,0.552,0.837,6,-5.567,1,0.0345,0.0725,0.0874,0.0749,0.317,116.033,259440,4,77
"8",71,0.813,0.777,5,-4.355,0,0.0828,0.0663,0.0421,0.0785,0.579,125.065,213211,4,78
"9",69,0.766,0.948,0,-5.351,0,0.0634,0.205,0.144,0.0481,0.676,123.967,157208,4,79
"10",61,0.467,0.975,1,-3.213,0,0.0502,0.04,0.0541,0.116,0.469,175.952,188182,4,80
"11",67,0.695,0.797,7,-5.199,1,0.0548,0.00259,0.112,0.664,0.297,124.972,237051,4,81
"12",60,0.562,0.955,5,-2.624,0,0.0399,0.0772,6.13e-05,0.153,0.316,125.014,159112,4,82
"13",56,0.871,0.893,5,-3.774,1,0.0403,0.474,0.852,0.0891,0.657,126.016,184762,4,83
"14",55,0.602,0.867,8,-5.221,0,0.104,0.0299,3.94e-05,0.138,0.496,125.88,201190,4,84
"15",66,0.639,0.973,10,-4.644,0,0.107,0.00403,0.00336,0.336,0.168,130.046,224769,4,85
"16",53,0.704,0.738,1,-4.963,0,0.0358,0.0212,0.359,0.0667,0.909,128.007,187500,4,86
"17",63,0.791,0.679,6,-6.879,1,0.0511,0.0129,0.0921,0.364,0.73,121.993,230720,4,87
"18",53,0.628,0.869,6,-6.578,0,0.051,0.0312,0.00768,0.137,0.446,131.042,236333,4,88
"19",50,0.756,0.833,2,-7.046,1,0.0411,0.00381,0.863,0.0619,0.141,124.006,233435,4,89
"20",54,0.791,0.737,5,-5.291,0,0.0531,0.00541,0.648,0.217,0.392,125.022,131315,4,90
"21",55,0.625,0.819,1,-5.673,0,0.11,0.0102,0.000135,0.268,0.227,130.014,223500,4,91
"22",53,0.658,0.938,11,-4.305,1,0.0589,0.00165,0.0379,0.851,0.645,124.956,240773,4,92
"23",53,0.591,0.913,4,-3.443,0,0.0479,0.0277,0,0.24,0.66,126.997,175984,4,93
"24",56,0.792,0.831,11,-4.585,1,0.0446,0.00144,0.495,0.128,0.0603,126.991,175748,4,94
"25",78,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640,4,95
"26",54,0.811,0.725,11,-10.838,0,0.214,0.0577,0.00131,0.53,0.839,115.009,192011,4,96
"27",69,0.624,0.923,9,-5.449,0,0.0335,0.0268,0.000228,0.0509,0.402,124.994,157452,4,97
"28",53,0.58,0.995,11,-1.719,0,0.0754,0.00192,0.0594,0.247,0.111,128.004,262750,4,98
"29",58,0.677,0.846,8,-5.361,1,0.0567,0.044,0,0.198,0.528,122.025,204587,4,99
"30",60,0.594,0.971,1,-3.504,0,0.0452,0.0108,0.107,0.11,0.967,124.031,173807,4,100
"31",53,0.797,0.871,8,-2.275,1,0.0353,0.186,0.0263,0.0775,0.653,127.013,169759,4,101
"32",51,0.7,0.826,11,-7.255,0,0.0583,0.0219,0.0352,0.0818,0.255,125.996,274286,4,102
"33",52,0.527,0.914,7,-3.423,1,0.0475,0.0113,0.908,0.0933,0.522,127.957,252025,4,103
"34",59,0.557,0.841,7,-2.472,0,0.0426,0.106,0,0.337,0.188,127.977,241875,4,104
"35",66,0.81,0.9,2,-3.912,1,0.0466,0.000683,0.794,0.308,0.111,123.001,154146,4,105
"36",68,0.489,0.641,11,-7.011,0,0.032,0.00598,0.0201,0.122,0.587,108.901,211885,4,106
"37",52,0.711,0.987,1,-2.749,1,0.125,0.0702,0.00681,0.0699,0.558,126.003,191429,4,107
"38",70,0.815,0.669,6,-7.966,0,0.0355,0.0242,0.0152,0.311,0.317,121.984,199656,4,108
"39",85,0.501,0.519,4,-5.88,0,0.0409,0.109,0,0.454,0.168,133.99,195707,4,109
"40",53,0.634,0.673,11,-4.183,0,0.0654,0.105,0,0.702,0.327,129.998,216667,4,110
"41",63,0.814,0.951,11,-1.981,1,0.0715,0.0118,0,0.628,0.264,104.003,173077,4,111
"42",62,0.596,0.905,8,-3.456,0,0.0515,0.0743,0.00168,0.128,0.692,144.981,223469,4,112
"43",58,0.621,0.831,6,-3.793,0,0.038,0.185,0.000925,0.102,0.527,125.946,224133,4,113
"44",56,0.516,0.86,10,-3.56,0,0.0494,0.0526,0,0.0858,0.35,173.874,182007,4,114
"45",62,0.484,0.756,6,-4.379,0,0.0579,0.00209,0.314,0.3,0.239,139.9,187093,4,115
"46",54,0.833,0.494,11,-9.26,1,0.0676,0.101,0.0472,0.102,0.145,123.008,249268,4,116
"47",74,0.681,0.774,1,-3.167,0,0.0787,0.0992,0,0.35,0.267,102.924,162425,4,117
"48",57,0.695,0.871,6,-5.245,0,0.0318,0.0167,0,0.113,0.486,127.963,315471,4,118
"49",52,0.619,0.805,5,-4.759,1,0.0452,0.29,0,0.236,0.354,128.039,202353,4,119
"50",63,0.588,0.783,2,-3.986,0,0.0325,0.00143,0.0183,0.112,0.354,91.971,270589,4,120
"51",63,0.496,0.03,11,-17.87,1,0.058,0.995,0.958,0.113,0.39,98.079,279184,4,121
"52",64,0.656,0.175,0,-28.548,1,0.217,0.977,0.899,0.0912,0.452,78.843,152000,3,122
"53",61,0.677,0.0397,8,-19.216,1,0.114,0.996,0.97,0.107,0.24,120.129,248350,3,123
"54",61,0.441,0.00753,4,-28.155,1,0.0447,0.992,0.93,0.108,0.279,79.838,182625,3,124
"55",65,0.721,0.0285,1,-20.385,1,0.0999,0.996,0.96,0.0998,0.261,99.406,227419,4,125
"56",60,0.358,0.0614,5,-23.618,0,0.059,0.993,0.93,0.105,0.137,168.741,220529,4,126
"57",56,0.606,0.0821,4,-23.949,1,0.0474,0.991,0.929,0.0874,0.536,112.099,163999,4,127
"58",67,0.257,0.0317,8,-23.03,1,0.0424,0.989,0.944,0.16,0.268,205.506,192727,4,128
"59",56,0.571,0.0322,11,-27.475,1,0.0656,0.996,0.973,0.107,0.579,95.346,115193,4,129
"60",56,0.653,0.0116,7,-28.217,1,0.0583,0.995,0.95,0.0952,0.471,110.539,128000,3,130
"61",56,0.173,0.178,9,-17.303,1,0.0372,0.972,0.956,0.12,0.0411,118.515,157652,4,131
"62",62,0.542,0.0783,5,-25.856,1,0.0506,0.996,0.955,0.124,0.269,139.84,242230,4,132
"63",61,0.438,0.0285,5,-23.429,1,0.0507,0.996,0.953,0.114,0.273,100.084,243643,4,133
"64",61,0.354,0.0284,5,-25.716,1,0.0438,0.994,0.958,0.129,0.137,139.832,248651,4,134
"65",56,0.565,0.0237,4,-24.838,1,0.0356,0.994,0.936,0.107,0.0602,96.039,254455,4,135
"66",62,0.356,0.0199,6,-26.752,0,0.0645,0.994,0.956,0.155,0.326,79.547,174375,4,136
"67",61,0.473,0.0998,4,-15.669,1,0.0524,0.987,0.936,0.105,0.158,120.875,310147,4,137
"68",69,0.131,0.0666,7,-18.711,1,0.0365,0.955,0.962,0.105,0.0468,99.442,138167,4,138
"69",63,0.505,0.0409,7,-20.356,1,0.0472,0.996,0.948,0.104,0.31,172.341,234767,4,139
"70",62,0.407,0.0987,1,-22.886,1,0.0721,0.99,0.967,0.11,0.197,163.584,146868,4,140
"71",60,0.73,0.064,2,-17.62,1,0.109,0.996,0.964,0.125,0.326,98.024,224543,4,141
"72",55,0.639,0.0291,1,-27.109,1,0.0646,0.996,0.97,0.101,0.43,74.673,113571,4,142
"73",55,0.294,0.223,6,-14.449,0,0.0322,0.989,0.895,0.0825,0.144,84.044,160287,3,143
"74",60,0.481,0.0067,5,-28.424,1,0.042,0.995,0.964,0.146,0.21,69.032,119795,4,144
"75",60,0.639,0.0169,10,-32.727,1,0.056,0.995,0.959,0.123,0.732,98.219,142961,4,145
"76",65,0.601,0.0235,9,-26.426,1,0.0525,0.991,0.967,0.106,0.346,79.929,141750,4,146
"77",53,0.575,0.00989,1,-28.81,1,0.0523,0.996,0.924,0.0972,0.605,65.941,97658,4,147
"78",56,0.522,0.0153,7,-27.176,1,0.0511,0.995,0.954,0.115,0.349,125.093,141292,4,148
"79",55,0.536,0.0593,5,-13.339,1,0.0448,0.993,0.916,0.11,0.247,72.28,190794,4,149
"80",53,0.542,0.022,3,-25.259,1,0.0426,0.994,0.882,0.138,0.168,110.989,114099,4,150
"81",53,0.428,0.0648,9,-19.362,1,0.05,0.995,0.945,0.109,0.28,110.059,253086,4,151
"82",61,0.24,0.0571,1,-17.398,1,0.059,0.987,0.94,0.102,0.229,67.396,230000,3,152
"83",55,0.715,0.0411,7,-27.613,1,0.0461,0.985,0.785,0.123,0.697,91.204,116000,3,153
"84",74,0.35,0.0256,2,-22.589,1,0.0334,0.957,0.88,0.106,0.071,77.664,220385,4,154
"85",61,0.508,0.113,6,-20.375,0,0.0727,0.994,0.944,0.155,0.248,128.048,167250,4,155
"86",69,0.374,0.00905,2,-22.653,1,0.0552,0.995,0.928,0.109,0.405,76.574,158429,3,156
"87",55,0.565,0.0843,5,-24.145,1,0.0448,0.994,0.947,0.12,0.44,86.022,183686,3,157
"88",56,0.588,0.026,5,-24.717,1,0.0506,0.993,0.968,0.135,0.202,77.728,130000,4,158
"89",60,0.514,0.0282,11,-20.249,1,0.0693,0.995,0.95,0.111,0.244,96.015,230000,4,159
"90",61,0.555,0.0306,0,-23.42,1,0.0545,0.995,0.958,0.122,0.474,114.703,76779,4,160
"91",60,0.461,0.028,0,-25.179,1,0.0619,0.994,0.967,0.111,0.406,73.651,168000,4,161
"92",61,0.588,0.0185,7,-20.676,1,0.0542,0.992,0.917,0.0943,0.5,121.072,112875,4,162
"93",60,0.54,0.0371,4,-24.532,0,0.049,0.995,0.954,0.0825,0.519,79.332,154000,4,163
"94",53,0.475,0.0516,9,-22.723,1,0.123,0.989,0.941,0.111,0.259,73.922,88033,4,164
"95",60,0.377,0.027,7,-22.285,0,0.0368,0.992,0.945,0.125,0.13,131.545,244616,4,165
"96",52,0.448,0.0197,3,-29.063,1,0.0442,0.995,0.95,0.109,0.148,131.893,278712,4,166
"97",60,0.298,0.0037,4,-30.052,1,0.0386,0.994,0.932,0.102,0.134,70.806,189713,4,167
"98",63,0.57,0.0743,4,-20.507,1,0.0539,0.988,0.953,0.108,0.231,83.01,167496,3,168
"99",68,0.505,0.029,6,-22.933,1,0.041,0.989,0.895,0.0989,0.114,66.014,253567,4,169
"100",61,0.394,0.0281,1,-23.71,1,0.0666,0.995,0.969,0.108,0.301,200.615,212400,4,170
"101",63,0.53,0.0663,3,-22.957,1,0.0428,0.993,0.935,0.112,0.12,121.991,230041,4,171
"102",65,0.419,0.00181,3,-33.652,1,0.0408,0.993,0.927,0.138,0.146,69.862,167091,4,172
"103",58,0.6,0.0185,2,-23.973,1,0.0599,0.994,0.936,0.111,0.214,79.993,228219,4,173
"104",58,0.392,0.0664,0,-16.245,1,0.0462,0.995,0.941,0.146,0.152,74.751,238278,4,174
"105",67,0.401,0.00641,5,-24.556,0,0.0459,0.987,0.904,0.106,0.303,69.241,96833,3,175
"106",59,0.652,0.0796,2,-19.505,1,0.118,0.992,0.894,0.0951,0.25,63.465,257500,4,176
"107",53,0.546,0.00574,8,-26.789,1,0.0397,0.991,0.9,0.17,0.386,71.996,135833,3,177
"108",61,0.729,0.0425,1,-22.36,1,0.068,0.995,0.972,0.103,0.475,100.074,216000,4,178
"109",52,0.512,0.113,0,-18.513,0,0.055,0.98,0.909,0.0932,0.0569,107.417,144492,3,179
"110",64,0.603,0.0945,5,-19.221,1,0.0366,0.968,0.927,0.114,0.0727,71.972,234543,5,180
"111",69,0.522,0.00251,9,-23.464,1,0.112,0.994,0.96,0.0891,0.732,72.002,109545,4,181
"112",60,0.442,0.0293,0,-26.293,1,0.0495,0.996,0.938,0.0927,0.25,67.256,251189,3,182
"113",60,0.517,0.014,11,-23.771,1,0.084,0.996,0.962,0.101,0.0462,66.185,224750,4,183
"114",62,0.408,0.0126,6,-20.377,0,0.0517,0.996,0.961,0.0948,0.132,80.969,204558,4,184
"115",62,0.401,0.0652,9,-22.219,1,0.0476,0.993,0.917,0.103,0.157,199.585,260576,4,185
"116",53,0.562,0.0206,9,-19.857,1,0.0426,0.995,0.93,0.108,0.207,72.953,188473,4,186
"117",54,0.283,0.0425,11,-20.579,0,0.0497,0.994,0.932,0.0985,0.285,197.891,223712,4,187
"118",69,0.749,0.196,6,-17.039,1,0.0821,0.973,0.911,0.11,0.158,75.495,195175,4,188
"119",66,0.298,0.0366,8,-29.701,1,0.0465,0.994,0.938,0.109,0.282,72.209,131988,4,189
"120",60,0.634,0.0333,5,-20.191,1,0.0427,0.992,0.93,0.129,0.144,118.197,251885,4,190
"121",52,0.467,0.0272,7,-25.823,1,0.0399,0.995,0.939,0.156,0.524,87.116,94315,4,191
"122",52,0.555,0.0404,0,-22.714,1,0.0594,0.993,0.902,0.1,0.456,118.647,153760,4,192
"123",59,0.344,0.0683,3,-14.155,1,0.0418,0.991,0.928,0.118,0.252,72.012,238337,5,193
"124",74,0.397,0.0315,7,-22.308,0,0.0392,0.991,0.926,0.0925,0.18,72.833,158066,4,194
"125",56,0.541,0.0132,5,-20.743,1,0.0429,0.996,0.95,0.115,0.154,75.065,221210,4,195
"126",61,0.679,0.0159,2,-23.479,1,0.0382,0.995,0.955,0.0914,0.0947,103.995,282825,4,196
"127",71,0.33,0.005,5,-34.638,1,0.0499,0.994,0.976,0.109,0.0749,85.067,192353,4,197
"128",66,0.588,0.0891,2,-32.152,1,0.044,0.99,0.931,0.151,0.271,66.001,139143,3,198
"129",73,0.349,0.0205,5,-26.793,1,0.0425,0.995,0.93,0.0962,0.0396,68.983,207349,1,199
"130",60,0.472,0.0294,8,-23.149,1,0.0514,0.996,0.945,0.0915,0.144,72.817,244104,3,200
"131",54,0.298,0.0873,9,-19.083,1,0.0598,0.994,0.957,0.106,0.407,211.823,180578,4,201
"132",60,0.35,0.0262,0,-24.468,1,0.0398,0.994,0.895,0.119,0.0556,100.076,231211,4,202
"133",74,0.433,0.187,8,-14.389,0,0.0343,0.958,0.93,0.121,0.35,138.509,187477,3,203
"134",51,0.529,0.0565,7,-22.54,1,0.0551,0.987,0.896,0.198,0.261,85.455,192508,3,204
"135",71,0.466,0.00472,5,-28.546,1,0.0531,0.992,0.938,0.0712,0.233,81.181,145812,4,205
"136",60,0.688,0.0195,4,-20.35,1,0.0567,0.996,0.957,0.095,0.293,132.225,209361,3,206
"137",62,0.514,0.132,1,-26.242,1,0.0604,0.994,0.962,0.123,0.12,132.052,137028,4,207
"138",74,0.573,0.0198,3,-25.76,0,0.0449,0.993,0.941,0.112,0.284,61.978,134000,3,208
"139",62,0.403,0.156,5,-18.196,0,0.0388,0.983,0.933,0.109,0.265,117.306,216742,4,209
"140",55,0.44,0.0446,2,-25.102,1,0.0533,0.992,0.951,0.101,0.203,114.101,177895,4,210
"141",51,0.575,0.105,8,-19.571,0,0.115,0.957,0.871,0.111,0.274,135.732,104348,4,211
"142",55,0.584,0.0448,0,-17.892,1,0.0407,0.995,0.964,0.104,0.298,107.114,159091,4,212
"143",59,0.464,0.0266,0,-20.338,1,0.0532,0.987,0.879,0.0836,0.0659,132.973,404160,3,213
"144",82,0.618,0.938,9,-3.442,1,0.0456,0.0179,0,0.167,0.875,91.455,269000,4,214
"145",81,0.432,0.895,11,-3.682,1,0.0504,0.127,1.16e-05,0.141,0.625,104.458,335067,4,215
"146",77,0.595,0.717,0,-4.803,1,0.0295,0.0779,0.00274,0.108,0.547,88.969,215907,4,216
"147",73,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,216933,4,217
"148",79,0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,218
"149",76,0.7,0.742,5,-6.777,0,0.0716,0.0722,0.0199,0.11,0.197,91.959,302000,4,219
"150",83,0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4,220
"151",82,0.559,0.345,4,-13.496,1,0.0459,0.0576,0.000105,0.141,0.458,84.581,264307,4,221
"152",78,0.553,0.865,9,-4.751,0,0.0409,0.017,1.05e-05,0.267,0.735,96.161,283000,4,222
"153",68,0.725,0.803,2,-4.083,1,0.0337,0.013,3.66e-05,0.0891,0.403,117.391,231933,4,223
