,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,marca_reggaeton
0,68.0,0.65,0.884,1.0,-3.557,1.0,0.0326,0.0482,0.154,0.135,0.377,125.99799999999999,200952.0,0
1,59.0,0.588,0.623,11.0,-8.027000000000001,0.0,0.0304,0.000288,0.451,0.184,0.16899999999999998,135.993,417188.0,0
2,61.0,0.5770000000000001,0.88,6.0,-2.9160000000000004,1.0,0.0357,0.335,0.8959999999999999,0.14300000000000002,0.259,127.95100000000001,204375.0,0
3,60.0,0.795,0.7240000000000001,11.0,-6.532,0.0,0.0861,0.40399999999999997,1.67e-06,0.374,0.445,123.99799999999999,219024.0,0
4,62.0,0.557,0.703,8.0,-2.062,0.0,0.0277,0.203,0.000156,0.0927,0.228,150.037,233600.0,0
5,64.0,0.59,0.647,6.0,-5.06,0.0,0.033,0.00807,4.3e-05,0.0921,0.39,127.979,192307.0,0
6,50.0,0.552,0.8370000000000001,6.0,-5.567,1.0,0.0345,0.0725,0.0874,0.0749,0.317,116.03299999999999,259440.0,0
7,71.0,0.813,0.777,5.0,-4.355,0.0,0.0828,0.0663,0.0421,0.0785,0.579,125.065,213211.0,0
8,69.0,0.7659999999999999,0.948,0.0,-5.351,0.0,0.0634,0.205,0.14400000000000002,0.0481,0.6759999999999999,123.96700000000001,157208.0,0
9,61.0,0.467,0.975,1.0,-3.213,0.0,0.0502,0.04,0.0541,0.11599999999999999,0.469,175.952,188182.0,0
10,67.0,0.695,0.797,7.0,-5.199,1.0,0.0548,0.00259,0.11199999999999999,0.664,0.297,124.97200000000001,237051.0,0
11,60.0,0.562,0.955,5.0,-2.6239999999999997,0.0,0.0399,0.0772,6.13e-05,0.153,0.316,125.014,159112.0,0
12,56.0,0.871,0.893,5.0,-3.7739999999999996,1.0,0.0403,0.474,0.852,0.0891,0.657,126.016,184762.0,0
13,55.0,0.602,0.867,8.0,-5.221,0.0,0.10400000000000001,0.0299,3.9399999999999995e-05,0.138,0.496,125.88,201190.0,0
14,66.0,0.639,0.973,10.0,-4.644,0.0,0.107,0.00403,0.00336,0.336,0.168,130.046,224769.0,0
15,53.0,0.7040000000000001,0.738,1.0,-4.963,0.0,0.0358,0.0212,0.359,0.0667,0.909,128.007,187500.0,0
16,63.0,0.7909999999999999,0.679,6.0,-6.879,1.0,0.0511,0.0129,0.0921,0.364,0.73,121.993,230720.0,0
17,53.0,0.628,0.8690000000000001,6.0,-6.577999999999999,0.0,0.051,0.0312,0.007679999999999999,0.13699999999999998,0.446,131.042,236333.0,0
18,50.0,0.7559999999999999,0.833,2.0,-7.046,1.0,0.0411,0.00381,0.863,0.0619,0.141,124.006,233435.0,0
19,54.0,0.7909999999999999,0.737,5.0,-5.291,0.0,0.0531,0.00541,0.648,0.217,0.392,125.022,131315.0,0
20,55.0,0.625,0.8190000000000001,1.0,-5.672999999999999,0.0,0.11,0.0102,0.000135,0.268,0.22699999999999998,130.014,223500.0,0
21,53.0,0.6579999999999999,0.938,11.0,-4.305,1.0,0.0589,0.00165,0.0379,0.851,0.645,124.956,240773.0,0
22,53.0,0.591,0.9129999999999999,4.0,-3.443,0.0,0.0479,0.0277,0.0,0.24,0.66,126.99700000000001,175984.0,0
23,56.0,0.792,0.831,11.0,-4.585,1.0,0.0446,0.00144,0.495,0.128,0.0603,126.991,175748.0,0
24,78.0,0.738,0.868,11.0,-4.373,0.0,0.0731,0.0389,0.0017100000000000001,0.38799999999999996,0.336,122.00299999999999,212640.0,0
25,54.0,0.8109999999999999,0.725,11.0,-10.838,0.0,0.214,0.0577,0.00131,0.53,0.8390000000000001,115.009,192011.0,0
26,69.0,0.624,0.9229999999999999,9.0,-5.449,0.0,0.0335,0.0268,0.00022799999999999999,0.0509,0.402,124.994,157452.0,0
27,53.0,0.58,0.995,11.0,-1.719,0.0,0.0754,0.0019199999999999998,0.0594,0.247,0.111,128.004,262750.0,0
28,58.0,0.677,0.846,8.0,-5.361000000000001,1.0,0.0567,0.044000000000000004,0.0,0.198,0.528,122.025,204587.0,0
29,60.0,0.594,0.971,1.0,-3.5039999999999996,0.0,0.0452,0.0108,0.107,0.11,0.9670000000000001,124.031,173807.0,0
30,53.0,0.797,0.871,8.0,-2.275,1.0,0.0353,0.18600000000000003,0.0263,0.0775,0.653,127.01299999999999,169759.0,0
31,51.0,0.7,0.826,11.0,-7.255,0.0,0.0583,0.0219,0.0352,0.0818,0.255,125.99600000000001,274286.0,0
32,52.0,0.527,0.914,7.0,-3.423,1.0,0.0475,0.0113,0.9079999999999999,0.0933,0.522,127.95700000000001,252025.0,0
33,59.0,0.557,0.841,7.0,-2.472,0.0,0.0426,0.106,0.0,0.337,0.188,127.977,241875.0,0
34,66.0,0.81,0.9,2.0,-3.912,1.0,0.0466,0.000683,0.794,0.308,0.111,123.001,154146.0,0
35,68.0,0.489,0.6409999999999999,11.0,-7.011,0.0,0.032,0.00598,0.0201,0.122,0.5870000000000001,108.90100000000001,211885.0,0
36,52.0,0.711,0.987,1.0,-2.7489999999999997,1.0,0.125,0.0702,0.006809999999999999,0.0699,0.5579999999999999,126.00299999999999,191429.0,0
37,70.0,0.815,0.669,6.0,-7.966,0.0,0.0355,0.0242,0.0152,0.311,0.317,121.984,199656.0,0
38,85.0,0.501,0.519,4.0,-5.88,0.0,0.0409,0.109,0.0,0.45399999999999996,0.168,133.99,195707.0,0
39,53.0,0.634,0.6729999999999999,11.0,-4.183,0.0,0.0654,0.105,0.0,0.7020000000000001,0.327,129.998,216667.0,0
40,63.0,0.8140000000000001,0.951,11.0,-1.9809999999999999,1.0,0.0715,0.0118,0.0,0.628,0.264,104.00299999999999,173077.0,0
41,62.0,0.596,0.905,8.0,-3.4560000000000004,0.0,0.0515,0.0743,0.00168,0.128,0.6920000000000001,144.981,223469.0,0
42,58.0,0.621,0.831,6.0,-3.793,0.0,0.038,0.185,0.000925,0.102,0.527,125.946,224133.0,0
43,56.0,0.516,0.86,10.0,-3.56,0.0,0.0494,0.0526,0.0,0.0858,0.35,173.87400000000002,182007.0,0
44,62.0,0.484,0.7559999999999999,6.0,-4.379,0.0,0.0579,0.00209,0.314,0.3,0.239,139.9,187093.0,0
45,54.0,0.833,0.494,11.0,-9.26,1.0,0.0676,0.10099999999999999,0.0472,0.102,0.145,123.008,249268.0,0
46,74.0,0.6809999999999999,0.774,1.0,-3.167,0.0,0.0787,0.0992,0.0,0.35,0.267,102.92399999999999,162425.0,0
47,57.0,0.695,0.871,6.0,-5.245,0.0,0.0318,0.0167,0.0,0.113,0.486,127.963,315471.0,0
48,52.0,0.619,0.805,5.0,-4.7589999999999995,1.0,0.0452,0.29,0.0,0.23600000000000002,0.354,128.039,202353.0,0
49,63.0,0.588,0.7829999999999999,2.0,-3.986,0.0,0.0325,0.00143,0.0183,0.11199999999999999,0.354,91.971,270589.0,0
